NY,Kings County ,"2,504,700",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Seal_of_Brooklyn%2C_New_York.svg/100px-Seal_of_Brooklyn%2C_New_York.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Map_of_New_York_highlighting_Kings_County.svg/100px-Map_of_New_York_highlighting_Kings_County.svg.png
NY,Queens County ,"2,230,722",https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Seal_of_Borough_of_Queens.svg/100px-Seal_of_Borough_of_Queens.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Map_of_New_York_highlighting_Queens_County.svg/100px-Map_of_New_York_highlighting_Queens_County.svg.png
NY,New York County ,"1,585,873",https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Seal_of_New_York_City_BW.svg/100px-Seal_of_New_York_City_BW.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Map_of_New_York_highlighting_New_York_County.svg/100px-Map_of_New_York_highlighting_New_York_County.svg.png
PA,Philadelphia County ,"1,526,006",,
NY,Suffolk County ,"1,493,350",https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Suffolk_County_ny_seal.png/100px-Suffolk_County_ny_seal.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Map_of_New_York_highlighting_Suffolk_County.svg/100px-Map_of_New_York_highlighting_Suffolk_County.svg.png
NY,Bronx County ,"1,385,108",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Seal_of_Borough_of_the_Bronx.svg/100px-Seal_of_Borough_of_the_Bronx.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Map_of_New_York_highlighting_Bronx_County.svg/100px-Map_of_New_York_highlighting_Bronx_County.svg.png
NY,Nassau County ,"1,339,532",https://upload.wikimedia.org/wikipedia/en/thumb/9/98/Seal_of_Nassau_County%2C_New_York.svg/100px-Seal_of_Nassau_County%2C_New_York.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Map_of_New_York_highlighting_Nassau_County.svg/100px-Map_of_New_York_highlighting_Nassau_County.svg.png
PA,Allegheny County ,"1,223,348",,
MD,Montgomery County ,"1,004,709",https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Seal_of_Montgomery_County%2C_Maryland.svg/100px-Seal_of_Montgomery_County%2C_Maryland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Map_of_Maryland_highlighting_Montgomery_County.svg/150px-Map_of_Maryland_highlighting_Montgomery_County.svg.png
NY,Westchester County ,"949,113",https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Westchester_County_Seal.png/100px-Westchester_County_Seal.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Map_of_New_York_highlighting_Westchester_County.svg/100px-Map_of_New_York_highlighting_Westchester_County.svg.png
NJ,Bergen County ,"932,202",https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Bergen_County_Seal.png/100px-Bergen_County_Seal.png,
NY,Erie County ,"919,040",https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Seal_of_Erie_County%2C_New_York.png/100px-Seal_of_Erie_County%2C_New_York.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Map_of_New_York_highlighting_Erie_County.svg/100px-Map_of_New_York_highlighting_Erie_County.svg.png
MD,Prince George's County ,"881,138",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Seal_of_Prince_George%27s_County%2C_Maryland.svg/100px-Seal_of_Prince_George%27s_County%2C_Maryland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Map_of_Maryland_highlighting_Prince_George%27s_County.svg/150px-Map_of_Maryland_highlighting_Prince_George%27s_County.svg.png
NJ,Middlesex County ,"825,062",https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Middle_Seal.JPG/100px-Middle_Seal.JPG,
