86,15665,Aphrodisiaque,Brasserie Dieu du Ciel!,
87,210,Abbaye Des Rocs Grand Cru Belgian Special Brown,Brasserie de l'Abbaye des Rocs s.a.,
88,14891,Abbaye Des Rocs [Brasserie Des Rocs Brune],Brasserie de l'Abbaye des Rocs s.a.,
89,19331,Kriek De Ranke,Brouwerij Brasserie De Ranke,
90,3622,Obsidian Stout,Deschutes Brewery,
91,1545374,Double IPA,AleSmith Brewing Company,
92,3901,Hop 15,Port Brewing,
93,86430,Fuller's Vintage Ale,Fuller Smith & Turner PLC,
94,353,De Dolle Oerbier,Brouwerij De Dolle Brouwers,
95,1553,Racer 5 India Pale Ale,Bear Republic Brewing Co.,
96,2025,Black Butte Porter,Deschutes Brewery,
97,8073,Saison Dupont,Brasserie Dupont sprl,
98,2560,Fuller's London Porter,Fuller Smith & Turner PLC,
99,47816,Goudenband,Brouwerij Liefmans,
100,10601,Cadillac Mountain Stout,Bar Harbor Brewing Company,
101,1365,De Dolle Stille Nacht,Brouwerij De Dolle Brouwers,
102,2346,Moinette Blond,Brasserie Dupont sprl,
103,46538,Boon Oude Kriek Mariage Parfait,Brouwerij Boon,
104,224,Taddy Porter,Samuel Smith Old Brewery (Tadcaster),
105,4168,Westmalle Trappist Dubbel,Brouwerij Westmalle,
106,1830,La Trappe Quadrupel (Koningshoeven / Dominus),Bierbrouwerij De Koningshoeven B.V.,
107,21768,Ayinger Brau Weisse,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,
108,876,La Terrible,Unibroue,
109,25654,Oud Beersel Oude Kriek Vieille,Brouwerij Oud Beersel,
110,20380,Zonker Stout,Snake River Brewing Company & Brewpub,
111,5862,White,Allagash Brewing Company,
112,6510,Abbey Ale,Brewery Ommegang,
113,14,Imperial Stout,Samuel Smith Old Brewery (Tadcaster),
114,6565,Northern Hemisphere Harvest Wet Hop IPA,Sierra Nevada Brewing Co.,
115,4700,Witbier,Brouwerij St. Bernardus NV,
116,882,Avec Les Bons Voeux,Brasserie Dupont sprl,
117,811,Wee Heavy,AleSmith Brewing Company,
118,2245,Traquair House Ale,Traquair House Brewery,
119,4018,Ipswich Oatmeal Stout,Ipswich Ale Brewery,
120,12059,Sinebrychoff Porter,Oy Sinebrychoff Ab,
121,18099,Arrogant Bastard Ale,Arrogant Consortia,
122,16630,Celebration Fresh Hop IPA,Sierra Nevada Brewing Co.,
123,37235,Brooklyn Black Chocolate Stout,Brooklyn Brewery,
124,6765,Three Philosophers,Brewery Ommegang,
125,402,Hennepin,Brewery Ommegang,
126,4072,Chimay Premiere (Red),Bieres de Chimay,
127,3954,Duchesse De Bourgogne,Brouwerij Verhaeghe,
128,4178,Chocolate Stout,Rogue Ales,
129,4043,Don De Dieu,Unibroue,
130,10722,Trappistes Rochefort 6,Brasserie de Rochefort,
131,475,Prior 8,Brouwerij St. Bernardus NV,
132,4084,Alaskan Smoked Porter,Alaskan Brewing Co.,
133,354,De Dolle Dulle Teve (Mad Bitch),Brouwerij De Dolle Brouwers,
134,351,De Dolle Boskeun,Brouwerij De Dolle Brouwers,
135,20951,Bigfoot Barleywine-Style Ale,Sierra Nevada Brewing Co.,
136,9144,Shakespeare Oatmeal Stout,Rogue Ales,
137,1424,Tripel Ale,Allagash Brewing Company,
138,449,Old Engine Oil Black Ale,Harviestoun Brewery Ltd.,
139,10052,Aecht Schlenkerla Rauchbier Urbock,Brauerei Heller-Trum / Schlenkerla,
140,1064,Corsendonk Christmas Ale,Brouwerij Corsendonk,
141,115100,Doggie Claws,Hair Of The Dog Brewing Company / Brewery And Tasting Room,
142,3354,Traquair Jacobite,Traquair House Brewery,
143,422,Triple,Brasserie de l'Abbaye du Val-Dieu,
144,1456,Centennial IPA,Founders Brewing Company,
145,4485,Delirium Tremens,Brouwerij Huyghe,
146,10049,Chimay Tripel (White),Bieres de Chimay,
147,5161,Robust Porter,Smuttynose Brewing Company,
148,1557,Big Bear Black Stout,Bear Republic Brewing Co.,
149,9377,Siberian Night Imperial Stout,Thirsty Dog Brewing Company,
150,29149,Boon Oude Geuze Mariage Parfait,Brouwerij Boon,
151,356,Gouden Carolus Tripel,Brouwerij Het Anker,
152,4705,Trappist Achel 8 Bruin,Brouwerij der St. Benedictusabdij de Achelse,
153,877,DeuS (Brut Des Flandres),Brouwerij Bosteels,
154,4498,Damnation,Russian River Brewing Company,
155,128043,Old Stock Ale,North Coast Brewing Co.,
156,1246,Dorado,Ballast Point Brewing Company,
157,5411,Alpha Klaus Christmas (Xmas) Porter,3 Floyds Brewing Co.,
158,13961,Old Numbskull,AleSmith Brewing Company,
159,20605,XS Imperial India Pale Ale,Rogue Ales,
160,871,Kasteel Donker,Brouwerij Van Honsebrouck N.V.,
161,1347,Oude Kriek,Hanssens Artisanaal bvba,
162,3950,120 Minute IPA,Dogfish Head Craft Brewery,
163,32167,G'Knight,Oskar Blues Grill & Brew,
164,17904,Third Coast Old Ale,Bell's Brewery - Eccentric Cafe & General Store,
165,19611,Fuller's 1845,Fuller Smith & Turner PLC,
166,376,Eisbock,Kulmbacher Brauerei AG,
167,9087,Gouden Carolus Classic,Brouwerij Het Anker,
168,12720,Guinness Special Export Stout / Antwerpen Stout,Guinness Ltd.,
169,3826,Hop Wallop,Victory Brewing Company - Downingtown,
170,37623,Oude Gueuze Cuvee Rene,Brouwerij Lindemans,
171,5975,Hacker-Pschorr Hefe Weisse Naturtrub,Hacker-Pschorr Brau GmbH,
172,1222537,Ibex Series: Barrel-Aged Imperial Stout,The Schlafly Tap Room,
173,107,"Carnegie Porter 5,5%",Carlsberg Sverige AB,
174,4013,Indian Brown Ale,Dogfish Head Craft Brewery,
175,6872,Nut Brown Ale,Samuel Smith Old Brewery (Tadcaster),
176,2240,Anchor Porter,Anchor Brewing Company,
177,2716,Weihenstephaner Original,Bayerische Staatsbrauerei Weihenstephan,
178,490277,Swami's IPA,Pizza Port Solana Beach,
179,24679,Ayinger Ur-Weisse,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,
180,38128,Weltenburger Kloster Asam-Bock,Klosterbrauerei Weltenburg,
181,3952,60 Minute IPA,Dogfish Head Craft Brewery,
182,3108,Skull Splitter,Orkney Brewery,
183,221,Pater 6,Brouwerij St. Bernardus NV,
184,7763,Smuttynose Imperial Stout (Big Beer Series),Smuttynose Brewing Company,
185,11827,Schneider Weisse Tap 4 Wiesen Edel-Weisse,Weisses Brauhaus G. Schneider & Sohn GmbH,
186,1034,Grand Cru,Allagash Brewing Company,
187,4910,Dragonmead Final Absolution Trippel,Dragonmead Microbrewery,
188,2731,Affligem Noel,Brouwerij De Smedt / Brouwerij Affligem,
189,4179,Hazelnut Brown Nectar,Rogue Ales,
190,2384,Rare Vos Amber Ale,Brewery Ommegang,
191,6540,Eliot Ness,Great Lakes Brewing Co.,
192,6811,Nosferatu,Great Lakes Brewing Co.,
193,11561,Piraat,Brouwerij Van Steenberge N.V.,
194,2018,Petrus Aged Pale,De Brabandere,
195,810,Fred,Hair Of The Dog Brewing Company / Brewery And Tasting Room,
196,11761,Olde GnarlyWine,Lagunitas Brewing Company,
197,1573,Hitachino Nest White Ale,Kiuchi Brewery,
198,7539,N'Ice Chouffe,Brasserie d'Achouffe,
199,7651,St-Ambroise Oatmeal Stout,McAuslan Brewing,
200,30,Cutthroat,Odell Brewing Company,
201,2066612,Coffeehouse Porter,Berkshire Brewing Company Inc.,
202,857,De Ranke XX Bitter,Brouwerij Brasserie De Ranke,
203,350,De Dolle Arabier,Brouwerij De Dolle Brouwers,
204,3832,HopDevil India Pale Ale,Victory Brewing Company - Downingtown,
205,918,Titan IPA,Great Divide Brewing Company,
206,6201,Sierra Nevada Stout,Sierra Nevada Brewing Co.,
207,6288,Dortmunder Gold,Great Lakes Brewing Co.,
208,5455,Fuller's ESB,Fuller Smith & Turner PLC,
209,1199,Guinness Foreign Extra Stout,Guinness Ltd.,
