27,34269,Bourbon Barrel Aged Expedition Stout,Bell's Brewery,https://untappd.akamaized.net/site/beer_logos/beer-34269_4a3da_sm.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-2507_ad044.jpeg
28,14236,3 Fonteinen Schaarbeekse Kriek,Brouwerij 3 Fonteinen,https://untappd.akamaized.net/site/beer_logos/beer-14236_c36d2_sm.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-3562_fd387.jpeg
29,5805,Nelson,Alpine Beer Company,https://untappd.akamaized.net/site/beer_logos/beer-5805_c5824_sm.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-29_19acf.jpeg
30,17241,Bourbon Barrel Barley Wine,Kuhnhenn Brewing Company,https://untappd.akamaized.net/site/beer_logos/beer-17241_97f3f_sm.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-KuhnhennBrewingCompany_4557.jpeg
31,9661,Exponential Hoppiness,Alpine Beer Company,https://untappd.akamaized.net/site/beer_logos/beer-9661_fbbb4_sm.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-29_19acf.jpeg
32,3528078,Stone Enjoy By Unfiltered IPA,Stone Brewing,https://untappd.akamaized.net/site/beer_logos/beer-3528078_530be_sm.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-1204_a1e0b.jpeg
33,9683,Raspberry Eisbock,Kuhnhenn Brewing Company,https://untappd.akamaized.net/site/beer_logos/beer-9683_23a1a_sm.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-KuhnhennBrewingCompany_4557.jpeg
34,2931,Wisconsin Belgian Red,New Glarus Brewing Company,https://untappd.akamaized.net/site/beer_logos/beer-2931_26736_sm.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-NewGlarusBrewingCompany_907.jpeg
35,15132,Raspberry Tart,New Glarus Brewing Company,https://untappd.akamaized.net/site/beer_logos/beer-15132_d2e36_sm.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-NewGlarusBrewingCompany_907.jpeg
36,6687,Victory at Sea,Ballast Point Brewing Company,https://untappd.akamaized.net/site/beer_logos/beer-_6687_sm_51f177d58ff585dac803f9cbf1acae.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-68_bcee7.jpeg
37,5558,Sculpin,Ballast Point Brewing Company,https://untappd.akamaized.net/site/beer_logos/beer-_5558_sm_568370b6ade3c2ed1ffd9a311fa92f.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-68_bcee7.jpeg
38,4744,Ten FIDY,Oskar Blues Brewery,https://untappd.akamaized.net/site/beer_logos/beer-4744_e459c_sm.jpeg,https://untappd.akamaized.net/site/brewery_logos/brewery-956_9066d.jpeg
